adsh,name,sic,countryba,cityba,fye,form,period,fy,fp,custom,abstract,datatype,qtrs,uom,iprx,value,instance,Ticker,Name,S&P Rating,Mkt cap,sales 1,country,industry,foreign scr,sales 2,ebitda,fcf,net income,ltm sales gr,ltm ebitda gr,ltm ni gr,sales gr,sales 3yr avg growth,ebitda gr,ni growth,ni 5yr gr,tang assets,tang eq,ebitda/int,debt/t. bv,cfo,cash,debt,cash int,interest,ebit,ret on cap,capex,cfo/debt,debt/ebitda,cfo/interest,ebitda/int.1,ebit/int,ebit/sales,debt/t asts,cfo/capex
0001193125-17-323043,GREENBRIER COMPANIES INC,3743.0,US,LAKE OSWEGO,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,1140715538.0,gbx-20170831.xml,GBX US,GREENBRIER COMPANIES INC,BB,1575520768.0,2239438944.0,US,Transport-Equip&Leasng,22.80357778,2169.164,325.561,194.324,116.067,-3.748433371,-22.77947192,12.50214158,-19.0466665,0.670669208,-31.01015688,-34.47776642,16.4659714,2243.938,1061.274,23.3176479,0.601980855,280.389,611.466,,,,260.432,10.71378747,-86.065,#VALUE!,#VALUE!,#VALUE!,23.3176479,#VALUE!,0.120061,#VALUE!,3.257874862
0000074303-17-000073,OLIN CORP,2800.0,US,CLAYTON,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,4062589377.0,olin-20170930.xml,OLN US,OLIN CORP,BB+,5548116992.0,6411600000.0,US,Chemicals-Diversified,43.2008168,6268.4,889.9,354.5,549.5,11.12921397,20.63157895,1075.105485,12.93193529,44.91665244,29.70412476,48.44263111,-2.461880761,6519.8,55.2,4.429566949,45.5006435,648.8,218.4,3379337500,2.943738657,217.4,331,9.969941433,-294.3,0.191990294,3.797435105,2.984360626,4.429566949,1.522539098,0.052804543,0.518319197,2.204553177
0001018963-17-000034,ALLEGHENY TECHNOLOGIES INC,3317.0,US,PITTSBURGH,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,1400000000.0,ati-20170930.xml,ATI US,ALLEGHENY TECHNOLOGIES INC,B,3622409472.0,3638200064.0,US,Steel-Specialty,,3525.1,241.1,-100.3,-91.9,12.1862473,,90.15702796,12.45772985,-5.066181829,,,,4516,1175.1,1.801943199,1.2188429,22.4,141.6,1611500000,0.162909091,134.9,80.3,2.618407189,-122.7,0.013900093,6.683948569,0.166048925,1.801943199,0.595255745,0.022779496,0.356842338,0.182559087
0000915389-17-000062,EASTMAN CHEMICAL CO,2821.0,US,KINGSPORT,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,9903245691.0,emn-20170930.xml,EMN US,EASTMAN CHEMICAL CO,BBB,15500744704.0,9852999936.0,US,Chemicals-Diversified,,9549,2119,1008,1384,8.573002755,7.762096774,56.32698768,6.005772647,0.214116,7.947019868,0.751645065,4.731118606,9099,-1420,8.057034221,-5.113839286,1657,191,6584459161,6.601593625,244,1532,12.0026268,-649,0.251653167,3.10734269,6.790983607,8.057034221,6.278688525,0.160435648,0.723646462,2.553158706
0000073088-17-000141,NORTHWESTERN CORP,4931.0,US,SIOUX FALLS,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,2957686000.0,nwe-20170930.xml,NWE US,NORTHWESTERN CORP,BBB,2629600256.0,1279840000.0,US,Electric-Integrated,0,1305.652,427.552,47.17,162.703,-0.942709865,-0.198342111,-9.880395216,3.850078783,2.723364594,5.494679027,0.357406083,13.88155835,5063.331,1441.329,5.170415518,1.381416985,323.608,8.473,2126193000,3.211575678,92.263,261.415,6.812788746,-276.438,0.15220067,4.972945981,3.507451524,5.170415518,2.833367656,0.200217975,0.419919812,1.170635007
0001130310-17-000017,CENTERPOINT ENERGY INC,4911.0,US,HOUSTON,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,10273144728.0,cnp-20170930.xml,CNP US,CENTERPOINT ENERGY INC,A-,11002568704.0,10034000256.0,US,Electric-Distribution,,9614,2108,-5,1792,21.19821234,3.871892925,275.5319149,27.7098831,3.229600581,1.103117506,18.36327345,2.387942442,21869,3821,5.576719577,2.202756892,1421,260,1795931688,3.561403509,390,1072,,-1426,0.791232768,0.851960004,3.643589744,5.576719577,2.748717949,0.111504057,0.082122259,0.996493689
0000320193-17-000070,APPLE INC,3571.0,US,CUPERTINO,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,747509000000.0,aapl-20170930.xml,AAPL US,APPLE INC,AA+,924931000000.0,247417000000.0,US,Computers,,229234,71501,51147,48351,12.22914219,9.557484042,16.59304614,6.304518199,8.808884604,1.378156503,5.471348294,2.782208172,367304,126032,34.17829828,,63598,20289,1.16385E+11,27.37752906,2323,61344,21.39134925,-12451,0.546444096,1.62774213,27.37752906,34.17829828,26.40723203,0.267604282,0.316863389,5.107862822
0000937834-17-000031,METLIFE INC,6311.0,US,NEW YORK,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,43800000000.0,met-20170930.xml,MET US,METLIFE INC,A-,48681656320.0,60843999232.0,US,Multi-line Insurance,,62308,,12283,4010,3.347884429,,,2.502179742,-4.911625768,,14.10639134,-8.758610118,710302,49280,,0.465834413,12283,12701,19739576531,,1129,,-22.0958263,0,0.622252457,#VALUE!,10.87953942,,#VALUE!,#VALUE!,0.0277904,#DIV/0!
0000831259-17-000032,FREEPORT-MCMORAN INC,1000.0,US,PHOENIX,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,14600000000.0,fcx-20170930.xml,FCX US,FREEPORT-MCMORAN INC,BB-,24107935744.0,17929999872.0,US,Metal-Copper,67.42059379,16403,5347,3272,1817,20.10181526,59.02883156,784.1085271,10.60687795,-4.945036107,,-28.21397757,-11.95294784,36996,10990,,,4682,4447,9959454000,5.078091106,801,3633,12.1542616,-1410,0.470106092,1.862624649,5.845193508,,4.535580524,0.221483875,0.269203536,3.320567376
0000058492-17-000020,LEGGETT & PLATT INC,2510.0,US,CARTHAGE,1231.0,8-K,20161231,2016,FY,0,0,monetary,0,USD,,6600700000.0,leg-20171108.xml,LEG US,LEGGETT & PLATT INC,BBB+,5481814528.0,4012299904.0,US,Home Furnishings,36.91870785,3943.8,593.8,284.3,292.6,6.376265974,-6.335561923,-25.62761506,5.170804555,1.488836557,-6.840288673,-8.823486453,9.282507466,2559.5,199.5,14.80798005,8.850063532,443.7,526.1,1256850000,10.1766055,43.5,467.9,13.73182783,-159.4,0.353025421,2.116621758,10.2,14.80798005,10.75632184,0.118641919,0.49105294,2.783563363
0000814547-17-000014,FAIR ISAAC CORP,7389.0,US,SAN JOSE,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,2637371198.0,fico-20170930.xml,FICO US,FAIR ISAAC CORP,BB+,5373953024.0,977369984.0,US,Data Processing/Mgmt,35.76647582,932.169,213.414,205.816,128.256,5.938780377,6.376754977,-4.021495126,5.76532071,5.717513054,6.057398435,-2.77012828,2.226999307,430.021,-399.062,8.182110953,-1.528303894,225.644,105.618,,,25.79,177.2,13.5953348,-19.828,#VALUE!,#VALUE!,8.749282668,8.182110953,6.870880186,0.190094285,#VALUE!,11.38006859
0000038777-17-000268,FRANKLIN RESOURCES INC,6282.0,US,SAN MATEO,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,14200000000.0,ben-20170930.xml,BEN US,FRANKLIN RESOURCES INC,A+,18178009088.0,6464099968.0,US,Invest Mgmnt/Advis Serv,39.0131723,6392.2,2416.6,1060.5,1696.7,0.883339836,-2.274290802,-60.90255142,-3.411906921,-8.848060495,-4.40664557,-0.427269162,-2.191665644,15306.3,12650,45.17009346,0.138022799,1135.4,8749.7,1050000000,,,2264.3,4.855334978,-74.9,1.081333333,0.434494745,#VALUE!,45.17009346,#VALUE!,0.354228591,0.068599204,15.1588785
0000897723-17-000029,SANMINA CORP,3672.0,US,SAN JOSE,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,2966500000.0,sanm-20170930.xml,SANM US,SANMINA CORP,BB+,2085512192.0,6886809088.0,US,Electronic Compo-Misc,82.02347517,6868.619,345.218,139.128,138.833,2.215603577,-14.84973963,,5.977891992,3.405359609,2.531371122,15.05623432,-2.252283873,3779.019,1579.34,19.19690819,,250.961,406.661,637652000,11.44164311,21.934,226.467,-4.56311605,-111.833,0.393570474,1.847099514,11.44164311,19.19690819,10.32492933,0.032971257,0.168734796,2.244069282
0000310568-17-000216,MICROSEMI CORP,3674.0,US,ALISO VIEJO,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,5950000000.0,mscc-20171001.xml,MSCC US,MICROSEMI CORP,BB,8090848256.0,1894300000.0,US,Electronic Compo-Semicon,67.00518821,1811.8,510.7,420,176.3,7.636797545,4.982206406,-21.79715302,9.474320242,17.25730301,95.67049808,407.285199,,1073.5,-1255.3,4.868446139,-1.635581436,474.7,144.9,,,,270.3,6.878966323,-54.7,#VALUE!,#VALUE!,#VALUE!,4.868446139,#VALUE!,0.149188652,#VALUE!,8.678244973
0001158449-17-000180,ADVANCE AUTO PARTS INC,5531.0,US,ROANOKE,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,11647903451.0,aap-20171007.xml,AAP US,ADVANCE AUTO PARTS INC,BBB-,8809070592.0,9373784192.0,US,Retail-Auto Parts,,9373.784,819.472,411.047,475.505,-2.026562555,-21.65547307,3.455665743,-2.026562555,-1.617021801,-21.65547307,-24.04721665,-0.190095582,6890.334,1823.229,15.31465735,0.572981781,600.805,546.937,1050350000,10.21759834,58.801,570.212,11.32905774,-189.758,0.57200457,1.28173995,10.21759834,15.31465735,9.697318073,0.060830503,0.152438184,3.166164272
0000731802-17-000041,ATMOS ENERGY CORP,4924.0,US,DALLAS,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,8146262574.0,ato-20170930.xml,ATO US,ATMOS ENERGY CORP,A,9538233344.0,3099982016.0,US,Gas-Distribution,0,2759.735,1047.179,-269.999,396.421,16.61919736,7.20430957,51.77014775,12.42895112,-14.82574909,10.19155532,10.75672422,14.2342804,10019.464,3168.534,6.684064391,0.801133189,867.09,26.409,3214602000,7.068995035,120.182,727.546,9.475466498,-1137.089,0.269734791,3.069773172,7.214807542,6.684064391,6.053701885,0.263628935,0.320835725,0.762552448
0000915840-17-000037,BEAZER HOMES USA INC,1531.0,US,ATLANTA,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,394750132.0,bzh-20170930.xml,BZH US,BEAZER HOMES USA INC,B-,498365216.0,1979235968.0,US,Bldg-Residential/Commer,0,1916.278,76.147,83.469,31.813,6.595819508,26.03291518,-1847.770069,5.167843505,9.437154297,4.141194491,51.69919287,,2220.995,682.44,0.760519351,,95.909,292.147,1275366000,0.61941113,15.636,62.138,-16.08706401,-12.44,0.075201158,16.748736,6.133857764,0.760519351,3.97403428,0.032426402,0.57423182,7.709726688
0001047469-17-007051,AECOM,8711.0,US,LOS ANGELES,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,5300000000.0,acm-20170930.xml,ACM US,AECOM,BB,5407835648.0,19119597056.0,US,Engineering/R&D Services,28.35075553,18203.402,932.487,610.3,339.39,9.146161608,1.233445411,-19.10018152,4.552208181,38.86873909,20.43481125,33.27660417,7.349928726,7988.979,-2193.291,4.12440621,0,696.654,802.362,3708508031,3.011776404,231.31,653.856,,-86.354,0.187852903,3.977007756,3.011776404,4.12440621,2.826751978,0.03591944,0.464203002,8.067420154
0001024478-17-000034,ROCKWELL AUTOMATION INC,3829.0,US,MILWAUKEE,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,19900000000.0,rok-20170930.xml,ROK US,ROCKWELL AUTOMATION INC,A,22609496064.0,6504499968.0,US,Industrial Automat/Robot,45.2030485,6311.3,1201.6,892.3,825.7,7.384600145,8.032827655,-47.14249103,7.344161919,-1.404058065,1.804625943,7.680499189,2.90457228,5846,1347.9,16.19407008,2.513562092,1034,1410.9,2140000000,13.56955381,76.2,1032.7,11.39824641,-141.7,0.48317757,1.780958722,13.56955381,16.19407008,13.55249344,0.163627145,0.366062265,7.297106563
0001126956-17-000063,SPIRE INC,4924.0,US,ST LOUIS,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,0.0,lg-20170930.xml,SR US,SPIRE INC,A-,3504692736.0,1957400000.0,US,Gas-Distribution,0,1740.7,475.8,-149.8,161.6,16.02157548,3.726287263,48.69739479,13.2309894,4.15800129,13.33968556,12.74103988,21.94799033,5375.1,819.7,5.564912281,2.618494755,288.3,7.4,,3.235690236,89.1,321.7,5.766570087,-438.1,#VALUE!,#VALUE!,3.235690236,5.564912281,3.610549944,0.184810708,#VALUE!,0.658068934
0001137411-17-000126,ROCKWELL COLLINS INC,3728.0,US,CEDAR RAPIDS,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,12710000000.0,col-20170930.xml,COL US,ROCKWELL COLLINS INC,BBB,22184263680.0,8478000000.0,US,Aerospace/Defense,43.22779244,6822,1616,1024,705,59.54083553,42.89008455,23.67346939,29.72047918,11.77629142,31.16883117,9.940773841,5.161087695,6710,-5237,8.64171123,-1.617039965,1264,703,6986000000,6.759358289,187,1222,11.47233685,-240,0.180933295,4.323019802,6.759358289,8.64171123,6.534759358,0.179126356,1.041132638,5.266666667
0001113256-17-000116,MERITOR INC,3714.0,US,TROY,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,1487830039.0,mtor-20171001.xml,MTOR US,MERITOR INC,BB,1907493632.0,3811000000.0,US,Auto/Trk Prts&Equip-Orig,47.38571855,3347,282,81,324,23.97527651,43.359375,-41.88679245,4.626445764,-3.678123188,4.05904059,6.2610987,14.69845531,2368,-117,3.76,-6.007462687,176,88,900572697.5,1.442622951,122,207,14.61956715,-95,0.195431197,3.193520204,1.442622951,3.76,1.696721311,0.06184643,0.380309416,1.852631579
0001674910-17-000042,VALVOLINE INC,2990.0,US,LEXINGTON,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,850000000.0,vvv-20170930.xml,VVV US,VALVOLINE INC,BB+,4097601280.0,2195000000.0,US,Chemicals-Specialty,27.83109405,2084,574,-198,304,9.96993988,10.83333333,-22.96819788,8.035251426,0.821208399,22.3880597,7.694316915,19.90955336,1580,-452,16.4,-1.938906752,-130,201,1055000000,,,532,23.29655899,-68,-0.123222749,1.837979094,#VALUE!,16.4,#VALUE!,0.255278311,0.667721519,-1.911764706
0000829224-17-000049,STARBUCKS CORP,5810.0,US,SEATTLE,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,82000000000.0,sbux-20171001.xml,SBUX US,STARBUCKS CORP,A-,78866997248.0,23465299456.0,US,Retail-Restaurants,,22386.8,5201.8,2654.9,2884.7,6.776452601,0.264510841,48.33935872,5.023949259,10.92217351,-0.003844675,7.037978851,17.16946353,12385,3476.4,53.84886128,-21.03250724,4174.3,2462.3,6567425000,45.12756757,92.5,4134.7,26.65327729,-1519.4,0.635606802,1.262529317,45.12756757,53.84886128,44.69945946,0.184693659,0.530272507,2.747334474
0001173431-17-000150,TD AMERITRADE HOLDING CORP,6211.0,US,OMAHA,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,22000000000.0,amtd-20170930.xml,AMTD US,TD AMERITRADE HOLDING CORP,A,34393206784.0,4586000000.0,US,Finance-Invest Bnkr/Brkr,0,3676,1647,490,872,33.70262391,13.50461133,18.12865497,10.48993087,5.576070054,10.09358289,7.787391842,7.9171548,32944,1564,27.91525424,2.946946947,687,1472,3050000000,,,1466,8.931899884,-197,0.225245902,1.851851852,#VALUE!,27.91525424,#VALUE!,0.398803047,0.09258135,3.487309645
0000070145-17-000054,NATIONAL FUEL GAS CO,4924.0,US,WILLIAMSVILLE,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,4970818000.0,nfg-20170930.xml,NFG US,NATIONAL FUEL GAS CO,BBB,4426108928.0,1595865024.0,US,Gas-Distribution,0,1579.881,777.04,233.916,283.482,1.475267444,5.859486028,76.6684075,8.776066912,-8.469724851,,9.426314936,6.051037623,6097.844,1698.259,6.647389943,1.089512471,684.251,555.53,2099000000,5.649737433,119.837,552.845,10.70597049,-450.335,0.325989042,2.70127664,5.709847543,6.647389943,4.613308077,0.349928254,0.344220023,1.519426649
0001558370-17-009004,BROOKS AUTOMATION INC,3559.0,US,CHELMSFORD,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,1172736000.0,brks-20170930.xml,BRKS US,BROOKS AUTOMATION INC,BB-,2094328320.0,760184992.0,US,Semiconductor Equipment,,692.885,92.262,83.547,62.612,19.83211823,50.91259176,151.6483283,23.65814004,13.1680744,185.7824309,,-12.26224352,449.47,290.486,461.31,0.614406581,96.224,101.622,,235.8431373,0.408,64.113,17.0260434,-12.677,#VALUE!,#VALUE!,235.8431373,461.31,157.1397059,0.092530507,#VALUE!,7.590439378
0001674862-17-000090,ASHLAND GLOBAL HOLDINGS INC,5160.0,US,COVINGTON,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,4061857571.0,ash-20170930.xml,ASH US,ASHLAND GLOBAL HOLDINGS INC,BB,4772941312.0,3566000000.0,US,Chemicals-Specialty,38.28220859,3260,443,166,1,16.76489849,280,80.70175439,7.982775754,-15.9888016,153.1428571,,-17.70374968,4834,-378,3.356060606,-9.354609929,365,566,2561063000,1.566523605,232,142,-8.926958973,-199,0.142518946,5.781180587,1.573275862,3.356060606,0.612068966,0.043558282,0.529802027,1.834170854
0000050725-17-000060,GRIFFON CORP,3442.0,US,NEW YORK,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,882000000.0,gff-20170930.xml,GFF US,GRIFFON CORP,B+,1031808832.0,1819982016.0,US,Bldg Prod-Doors&Windows,23.6091612,1524.997,116.905,61.407,14.912,7.121470474,,264.3251195,-22.08116757,-7.928426893,-21.98479803,-0.20306644,19.13019386,1349.275,-125.458,2.428589235,-4.651866281,96.344,47.681,1090066375,1.710653409,51.513,69.027,6.402417498,-34.937,0.088383609,9.324377697,1.870285171,2.428589235,1.339991847,0.045263696,0.807890441,2.757649483
0001096752-17-000040,EDGEWELL PERSONAL CARE CO,2844.0,US,CHESTERFIELD,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,3552560980.0,epc-20170930.xml,EPC US,EDGEWELL PERSONAL CARE CO,BB,2414827520.0,2278799968.0,US,Cosmetics&Toiletries,42.11190393,2298.4,100.5,227.2,5.7,-3.099885189,-75.01875469,,-2.692633362,-4.149848782,-74.06451613,7.07923113,-11.23652155,1671.2,-775.9,1.513554217,-1.637982537,296.2,502.9,1429100000,4.280346821,69.2,6.1,0.361369861,-69,0.207263313,14.2199005,4.280346821,1.513554217,0.088150289,0.00265402,0.855134035,4.292753623
0001636023-17-000167,WESTROCK CO,2650.0,US,NORCROSS,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,13240000000.0,wrk-20170930.xml,WRK US,WESTROCK CO,BBB,15871806464.0,15667200256.0,US,Containers-Paper/Plastic,17.63965625,14859.7,1951.6,1121.9,708.2,9.471271757,36.16457374,921.4324471,4.854005843,14.89020844,23.76966007,7.950657512,16.59305029,16231.4,1533.2,8.165690377,2.535240464,1900.5,298.1,8283024000,6.843716241,277.7,835,11.75610755,-778.6,0.229445188,4.244222177,6.843716241,8.165690377,3.006841916,0.056192252,0.510308661,2.440919599
0001564590-17-024183,BEACON ROOFING SUPPLY INC,5030.0,US,HERNDON,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,2960000000.0,becn-20170930.xml,BECN US,BEACON ROOFING SUPPLY INC,BB-,2690785280.0,5051366016.0,US,Retail-Building Products,4.060964158,4376.67,332.563,275.372,100.864,20.27061905,-7.069218092,-8.897300988,6.046872036,26.07545146,8.974522815,-1.411414802,6.364995434,1768.502,100.751,6.777732488,-1.471980446,315.2,138.25,,,,216.096,4.233332394,-39.828,#VALUE!,#VALUE!,#VALUE!,6.777732488,#VALUE!,0.049374524,#VALUE!,7.91403033
0000775158-17-000172,OSHKOSH CORP,3711.0,US,OSHKOSH,930.0,10-K,20170930,2017,FY,0,0,monetary,0,USD,,5130156538.0,osk-20170930.xml,OSK US,OSHKOSH CORP,BBB,5586046976.0,7472600064.0,US,Machinery-Constr&Mining,25.4011948,6829.6,593.3,133.3,285.6,18.00208445,44.000819,86.08986616,8.765447828,0.435051892,20.39366883,37.58016246,9.794981043,3578.1,786.6,10.39054291,0.986528374,246.5,447,1133700000,4.122073579,59.8,463,14.27746434,-113.2,0.217429655,1.910837688,4.122073579,10.39054291,7.742474916,0.067793136,0.316844135,2.177561837
